snapshot_id,snapshot_ts,reason,candle_open_time,candle_close_time,position_open_time,side,size,entry_px,fees,funding,realised_pnl,fill_type,balance,equity,upnl
31575,1739758080000,Flatten,1739758080000,1739758139999,1739757120000,Long,463.9112516801,189.1900000000,26.3302109116,0.0000000000,0.0000000000,Market,12171.9584235437,11888.9725600189,-282.9858635249
31577,1739758500000,Open,1739758500000,1739758559999,1739758500000,Long,451.8510193161,188.6900000000,25.5779306504,0.0000000000,0.0000000000,Market,11841.7870349990,12027.0459529186,185.2589179196
31578,1739758800000,Interval,1739758800000,1739758859999,1739758500000,Long,451.8510193161,188.6900000000,25.5779306504,0.0000000000,0.0000000000,Market,11841.7870349990,11945.7127694417,103.9257344427
31579,1739759460000,Flatten,1739759460000,1739759519999,1739758500000,Long,451.8510193161,188.6900000000,25.5779306504,0.0000000000,0.0000000000,Market,11841.7870349990,11764.9723617152,-76.8146732837
32299,1740405660000,Open,1740405660000,1740405719999,1740405660000,Long,533.9469729840,158.0700000000,25.3202994059,0.0000000000,0.0000000000,Market,11714.0971760609,11836.9049798472,122.8078037863
32300,1740405900000,Interval,1740405900000,1740405959999,1740405660000,Long,533.9469729840,158.0700000000,25.3202994059,0.0000000000,0.0000000000,Market,11714.0971760609,12050.4837690408,336.3865929799
32301,1740406620000,Flatten,1740406620000,1740406679999,1740405660000,Long,533.9469729840,158.0700000000,25.3202994059,0.0000000000,0.0000000000,Market,11714.0971760609,11383.0500528108,-331.0471232501
33073,1741099020000,Open,1741099020000,1741099079999,1741099020000,Long,580.5350311155,140.4800000000,24.4660683513,0.0000000000,0.0000000000,Market,11338.7008670796,11599.9416310815,261.2407640020
33074,1741099080000,Flatten,1741099080000,1741099139999,1741099020000,Long,580.5350311155,140.4800000000,24.4660683513,0.0000000000,0.0000000000,Market,11338.7008670796,11495.4453254807,156.7444584012
33078,1741101240000,Open,1741101240000,1741101299999,1741101240000,Long,624.5703588225,135.0100000000,25.2969732434,0.0000000000,0.0000000000,Market,11707.0837254712,11856.9806115886,149.8968861174
33079,1741101600000,Interval,1741101600000,1741101659999,1741101240000,Long,624.5703588225,135.0100000000,25.2969732434,0.0000000000,0.0000000000,Market,11707.0837254712,11188.6903276485,-518.3933978227
33080,1741102500000,Interval,1741102500000,1741102559999,1741101240000,Long,624.5703588225,135.0100000000,25.2969732434,0.0000000000,0.0000000000,Market,11707.0837254712,12381.6197129995,674.5359875283
33081,1741103400000,Interval,1741103400000,1741103459999,1741101240000,Long,624.5703588225,135.0100000000,25.2969732434,0.0000000000,0.0000000000,Market,11707.0837254712,13480.8635445272,1773.7798190559
